epoch,loss_19,mAP_19,val_loss_19,loss_16,mAP_16,val_loss_16,classification_loss_152,loss_152,mAP_152,regression_loss_152,val_classification_loss_152,val_loss_152,val_regression_loss_152,classification_loss_101,loss_101,mAP_101,regression_loss_101,val_classification_loss_101,val_loss_101,val_regression_loss_101,classification_loss_50,loss_50,mAP_50,regression_loss_50,val_classification_loss_50,val_loss_50,val_regression_loss_50
0,1.846182823,0.214535321,2.418734503,2.513692617,0.114535321,2.718734503,0.96407485,3.513692617,0.072333895,2.549616098,0.836078048,3.218734503,2.382655621,1.012107611,3.681132793,0.100489381,2.669023752,0.821599603,3.409514666,2.587914228,1.058477283,3.727638006,0.114535321,2.669159651,0.69940275,3.249327421,2.549925804
1,1.646182823,0.3826548,2.068947077,2.126978874,0.226548,3.068947077,0.947183371,3.126978874,0.185615544,2.179795742,1.062718749,3.068947077,2.006228924,0.773551166,3.368983269,0.182122218,2.59543252,0.684734881,3.144377708,2.459642887,0.598203361,3.14094758,0.266295594,2.542743921,0.468184233,3.008232832,2.540048599
2,1.446182823,0.496295594,1.534521389,1.846182823,0.396295594,2.534521389,0.846970141,2.846182823,0.192477301,1.99921298,0.449413568,2.234521389,1.785108447,1.034404397,3.40690279,0.51527977,2.372499704,1.107977152,3.439277411,2.331300974,0.664450049,3.051527977,0.366295594,2.387078285,1.114650607,3.33680439,2.22215414
3,1.329590797,0.608829555,1.286455727,1.329590797,0.588295546,2.286455727,0.544632316,2.329590797,0.292477301,1.784959316,0.456176162,2.186455727,1.730279922,1.100084424,3.438345432,0.637186551,2.338260889,1.085035563,3.353907108,2.268870354,1.106816888,3.371865511,0.498295546,2.265049458,1.097185493,3.237504959,2.140319347
4,1.340225267,0.673333034,1.182698584,1.040225267,0.673333034,2.182698584,0.409843355,2.040225267,0.492477301,1.630380392,0.406314462,2.082698584,1.676383853,0.796215892,2.920275211,0.71908896,2.124058962,0.523645222,2.693813086,2.1701684,0.970012426,3.128297091,0.673333034,2.158283949,0.524045825,2.779559135,2.255513191
5,1.284881616,0.698795353,0.978265488,1.384881616,0.728795353,1.782654881,0.34463203,1.884881616,0.515401422,1.540249348,0.312045723,1.782654881,1.470608711,0.496094465,2.461748838,0.752222795,1.965654016,0.504967511,2.449205399,1.944238186,0.597419143,2.616142273,0.728795353,2.018723249,0.481813788,2.412969351,1.931156158
6,1.2808918,0.700574139,0.975639987,1.808917999,0.760574139,1.75639987,0.330507576,1.808917999,0.452158245,1.478411913,0.314407021,1.75639987,1.44199264,0.611963868,2.611317635,0.781350386,1.999353051,0.519771576,2.491387844,1.971615314,1.063623071,2.935038567,0.760574139,1.871415377,1.08534503,2.99299407,1.907649279
7,1.217289555,0.763694013,0.976911008,1.728955507,0.763694013,1.769110084,0.313803971,1.728955507,0.45008245,1.415150762,0.302574486,1.769110084,1.466535807,1.036400318,2.938102961,0.801919365,1.901702285,1.064444065,2.879199505,1.814755678,1.078208089,3.019193649,0.763694013,1.940986037,1.073498249,2.796912193,1.723413944
8,1.201671627,0.761937387,0.974995661,1.616716266,0.781937387,1.749956608,0.279985815,1.616716266,0.450853364,1.336732149,0.263179004,1.749956608,1.486777186,0.84723711,2.696583748,0.826368313,1.849346757,0.500218689,2.356960535,1.856742501,1.06786406,2.963683128,0.781937387,1.895819068,1.060179234,2.789779425,1.729601026
9,1.160587406,0.779666245,0.948971319,1.605874062,0.779666245,1.489713192,0.28418842,1.605874062,0.652179003,1.321686387,0.240896285,1.489713192,1.248816967,0.759974957,2.521790028,0.837169871,1.76181519,1.066583276,2.865038872,1.798456073,1.017119288,2.737176895,0.779666245,1.720057726,0.702425897,2.56206274,1.859637022
10,1.15291661,0.781744507,0.95294379,1.529166102,0.781744507,1.5294379,0.286773562,1.529166102,0.759605408,1.242391825,0.260066897,1.5294379,1.269370914,1.058837533,2.759605408,0.851513786,1.700768709,1.054212451,2.736075163,1.681862473,0.58385253,2.315137863,0.781744507,1.731284976,1.050798059,2.715344429,1.66454649
11,1.047962809,0.799977309,0.961648881,1.479628086,0.799977309,1.616488814,0.254064679,1.479628086,0.75103116,1.225563765,0.245034069,1.616488814,1.371454835,1.046934247,2.75103116,0.875657265,1.704097033,1.041364193,2.766114712,1.7247504,1.050351739,2.565726519,0.799977309,1.515375376,1.050724149,2.560442448,1.509718776
12,1.047992361,0.781060311,0.949039066,1.479923606,0.810603107,1.490390658,0.247491539,1.479923606,0.876563025,1.232432127,0.238555253,1.490390658,1.251835823,1.033531308,2.676563025,0.885016456,1.643031597,1.022255063,2.609307766,1.587053061,1.051252842,2.501645565,0.810603107,1.450392604,1.049656153,2.525494099,1.475838184
13,0.998152391,0.746235657,0.954898405,1.44152391,0.816235657,1.548984051,0.242766663,1.44152391,0.881763392,1.198757529,0.318712622,1.548984051,1.230271459,0.881431758,2.488415003,0.899803305,1.606982708,0.424004823,2.04883194,1.624827385,1.049672484,2.499803305,0.816235657,1.45013082,1.048580647,2.511814356,1.463234067
14,0.994451675,0.758064851,0.946235001,1.344516754,0.798064851,1.462350011,0.229976475,1.344516754,0.898898,1.114540577,0.249620706,1.462350011,1.212729096,0.444988906,2.049276352,0.89444021,1.604287386,1.198730588,2.822765112,1.624034166,1.047681332,2.444020987,0.798064851,1.396340013,1.047500968,2.518584967,1.471084237
15,0.950337625,0.85383345,0.945007312,1.350337625,0.82383345,1.450073123,0.232752994,1.350337625,0.905604029,1.117584825,0.232850984,1.450073123,1.217222214,1.020380497,2.505604029,0.897134686,1.485224128,1.008416176,2.594958544,1.586541891,1.046856046,2.471346855,0.82383345,1.424491405,1.04641223,2.472701788,1.426289797
