epoch,loss,mAP,val_loss
0,1.846182823,0.214535321,2.418734503
1,1.646182823,0.3826548,2.068947077
2,1.446182823,0.496295594,1.534521389
3,1.329590797,0.608829555,1.286455727
4,1.340225267,0.673333034,1.182698584
5,1.284881616,0.698795353,0.978265488
6,1.2808918,0.700574139,0.975639987
7,1.217289555,0.763694013,0.976911008
8,1.201671627,0.761937387,0.974995661
9,1.160587406,0.779666245,0.948971319
10,1.15291661,0.781744507,0.95294379
11,1.047962809,0.799977309,0.961648881
12,1.047992361,0.781060311,0.949039066
13,0.998152391,0.746235657,0.954898405
14,0.994451675,0.758064851,0.946235001
15,0.950337625,0.85383345,0.945007312
16,0.971836104,0.894483597,0.937223399
17,0.957380562,0.913779126,0.934653926
18,0.922671244,0.928064231,0.93602562
19,0.958929379,0.923893656,0.927441263
20,0.935751752,0.947973296,0.926181543
21,0.914017072,0.941340797,0.92906791
22,0.897888613,0.948769135,0.927496278
23,0.857905521,0.939171838,0.933121944
24,0.840139723,0.944221098,0.913774204
25,0.800497794,0.957016248,0.91730528
26,0.765745149,0.961791663,0.927092731
27,0.755701969,0.969327332,0.92172159
28,0.750505042,0.964993607,0.882072108
29,0.732516458,0.982589914,0.861439419
30,0.722329758,0.984130888,0.86334915
31,0.70158,0.993753985,0.86557562
32,0.70158,0.993753985,0.86557562
33,0.70158,0.993753985,0.86557562
34,0.70158,0.993753985,0.86557562
35,0.70158,0.993753985,0.86557562
36,0.70158,0.993753985,0.86557562
37,0.70158,0.993753985,0.86557562
38,0.70158,0.993753985,0.86557562
39,0.70158,0.993753985,0.86557562
40,0.70158,0.993753985,0.86557562
41,0.70158,0.993753985,0.86557562
42,0.70158,0.993753985,0.86557562
43,0.70158,0.993753985,0.86557562
44,0.70158,0.993753985,0.86557562
45,0.70158,0.993753985,0.86557562
46,0.70158,0.993753985,0.86557562
47,0.70158,0.993753985,0.86557562
48,0.70158,0.993753985,0.86557562
49,0.70158,0.993753985,0.86557562
