epoch,classification_loss,loss,mAP,regression_loss,val_classification_loss,val_loss,val_regression_loss
0,1.041089296,3.739051104,0.052719888,2.69796133,0.58356595,3.183974266,2.600408554
1,0.634094119,3.187993526,0.1444126,2.553899765,0.474774063,2.904424429,2.429650068
2,0.594097376,2.901097775,0,2.307000637,1.070421576,3.423781395,2.353359938
3,0.899226665,2.995790958,0.370149514,2.096563339,0.484313875,2.504285812,2.019971848
4,0.481814653,2.315388441,0.301689895,1.833573461,0.431351125,2.500524282,2.069173336
5,0.32584548,1.941167712,0.583161373,1.615321994,0.34745419,2.197268486,1.849814296
6,0.254687637,1.708398461,0.639692254,1.453710437,0.339813828,2.094121933,1.754307747
7,0.245003447,1.550373793,0.638263909,1.305370331,0.341568708,2.173132896,1.831564665
8,0.197457805,1.433358788,0.67535715,1.235901237,0.314974248,2.095380783,1.780405879
9,0.147707894,1.253392816,0.738284246,1.105684757,0.362299562,2.024112701,1.661813259
10,0.116992451,1.10125339,0.727410912,0.984260499,0.320024848,1.999676347,1.679651022
11,0.10236726,1.039126873,0.755064793,0.936759651,0.344591588,1.991153717,1.646561742
12,0.092601366,0.982698739,0.745717851,0.890097439,0.332304358,1.908466339,1.576161861
13,0.073765084,0.853628457,0.735455791,0.779863119,0.374085158,2.090658188,1.716573477
14,0.06458278,0.887861431,0.762836495,0.823278427,0.352549106,1.998812437,1.64626348
15,0.061793938,0.750679553,0.7303719,0.68888551,0.353209406,1.93842268,1.585212708
16,0.055536695,0.692811668,0.711395638,0.63727504,0.364667058,1.955624223,1.590957046
17,0.0479411,0.724651933,0.730524831,0.676711023,0.399631083,2.149605751,1.749974728
18,0.05137765,0.635273337,0.737321618,0.583895624,0.374830544,1.951536894,1.576706529
19,0.040144745,0.462193757,0.741790346,0.422049016,0.366549939,1.939689159,1.573139548
20,0.040144745,0.462193757,0.741790346,0.422049016,0.366549939,1.939689159,1.573139548
21,0.040144745,0.462193757,0.741790346,0.422049016,0.366549939,1.939689159,1.573139548
22,0.040144745,0.462193757,0.741790346,0.422049016,0.366549939,1.939689159,1.573139548
23,0.040144745,0.462193757,0.741790346,0.422049016,0.366549939,1.939689159,1.573139548
24,0.040144745,0.462193757,0.741790346,0.422049016,0.366549939,1.939689159,1.573139548
