epoch,classification_loss,loss,mAP,regression_loss,val_classification_loss,val_loss,val_regression_loss
0,0.96407485,3.513692617,0.114535321,2.549616098,0.836078048,3.218734503,2.382655621
1,0.947183371,3.126978874,0,2.179795742,1.062718749,3.068947077,2.006228924
2,0.846970141,2.846182823,0.366295594,1.99921298,0.449413568,2.234521389,1.785108447
3,0.544632316,2.329590797,0.498295546,1.784959316,0.456176162,2.186455727,1.730279922
4,0.409843355,2.040225267,0.673333034,1.630380392,0.406314462,2.082698584,1.676383853
5,0.34463203,1.884881616,0.728795353,1.540249348,0.312045723,1.782654881,1.470608711
6,0.330507576,1.808917999,0.760574139,1.478411913,0.314407021,1.75639987,1.44199264
7,0.313803971,1.728955507,0.763694013,1.415150762,0.302574486,1.769110084,1.466535807
8,0.279985815,1.616716266,0.781937387,1.336732149,0.263179004,1.749956608,1.486777186
9,0.28418842,1.605874062,0.779666245,1.321686387,0.240896285,1.489713192,1.248816967
10,0.286773562,1.529166102,0.781744507,1.242391825,0.260066897,1.5294379,1.269370914
11,0.254064679,1.479628086,0.799977309,1.225563765,0.245034069,1.616488814,1.371454835
12,0.247491539,1.479923606,0.810603107,1.232432127,0.238555253,1.490390658,1.251835823
13,0.242766663,1.44152391,0.816235657,1.198757529,0.318712622,1.548984051,1.230271459
14,0.229976475,1.344516754,0.798064851,1.114540577,0.249620706,1.462350011,1.212729096
15,0.232752994,1.350337625,0.82383345,1.117584825,0.232850984,1.450073123,1.217222214
16,0.223502412,1.318361044,0.814483597,1.09485805,0.214080125,1.372233987,1.158154607
17,0.210015297,1.273805618,0.833779126,1.063789845,0.211576104,1.346539259,1.134963036
18,0.22076945,1.297124386,0.838064231,1.076354742,0.215614557,1.360256195,1.144641757
19,0.2125213,1.269293785,0.833893656,1.056771755,0.215704054,1.274412632,1.058708906
20,0.20100306,1.187517524,0.857973296,0.986514568,0.200680941,1.261815429,1.061134696
21,0.199442431,1.174017072,0.851340797,0.974574566,0.21190685,1.290679097,1.078772426
22,0.199034631,1.197888613,0.858769135,0.998854399,0.194295824,1.274962783,1.080667257
23,0.211074844,1.179055214,0.849171838,0.967979431,0.242671862,1.331219435,1.088547468
24,0.193573132,1.139722943,0.834221098,0.946150005,0.211929262,1.377420425,1.165490746
25,0.193234563,1.149779439,0.847016248,0.95654434,0.215511009,1.305279613,1.089768529
