epoch,classification_loss,loss,mAP,regression_loss,val_classification_loss,val_loss,val_regression_loss
0,1.058477283,3.727638006,0.100489381,2.669159651,0.69940275,3.249327421,2.549925804
1,0.598203361,3.14094758,0.182122218,2.542743921,0.468184233,3.008232832,2.540048599
2,0.664450049,3.051527977,0.51527977,2.387078285,1.114650607,3.33680439,2.22215414
3,1.106816888,3.371865511,0.637186551,2.265049458,1.097185493,3.237504959,2.140319347
4,0.970012426,3.128297091,0.71908896,2.158283949,0.524045825,2.779559135,2.255513191
5,0.597419143,2.616142273,0.752222795,2.018723249,0.481813788,2.412969351,1.931156158
6,1.063623071,2.935038567,0.781350386,1.871415377,1.08534503,2.99299407,1.907649279
7,1.078208089,3.019193649,0.801919365,1.940986037,1.073498249,2.796912193,1.723413944
8,1.06786406,2.963683128,0.826368313,1.895819068,1.060179234,2.789779425,1.729601026
9,1.017119288,2.737176895,0.837169871,1.720057726,0.702425897,2.56206274,1.859637022
10,0.58385253,2.315137863,0.851513786,1.731284976,1.050798059,2.715344429,1.66454649
11,1.050351739,2.565726519,0.875657265,1.515375376,1.050724149,2.560442448,1.509718776
12,1.051252842,2.501645565,0.885016456,1.450392604,1.049656153,2.525494099,1.475838184
13,1.049672484,2.499803305,0.899803305,1.45013082,1.048580647,2.511814356,1.463234067
14,1.047681332,2.444020987,0.89444021,1.396340013,1.047500968,2.518584967,1.471084237
15,1.046856046,2.471346855,0.897134686,1.424491405,1.04641223,2.472701788,1.426289797
16,1.045381069,2.462659359,0.906265936,1.417278409,1.046226621,2.450569391,1.404343009
17,1.048210502,2.345863342,0.904586334,1.297653079,1.046122313,2.458225727,1.412102818
18,1.035854578,2.278176069,0.912781761,1.242321134,1.046015501,2.452414751,1.406398296
19,1.046616554,2.368735552,0.903687356,1.322118998,1.045908332,2.455118656,1.409210205
20,1.046458244,2.485038519,0.917176895,1.438580632,1.045801282,2.455269814,1.409467936
21,1.045379639,2.45601964,0.915137863,1.410640121,1.045783639,2.451265335,1.405481815
22,1.047089815,2.386673212,0.925601964,1.33958292,1.045773745,2.450393915,1.404620409
23,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
24,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
25,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
26,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
27,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
28,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
29,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
30,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
31,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
32,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
33,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
34,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
35,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
36,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
37,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
38,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
39,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
40,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
41,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
42,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
43,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
44,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
45,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
46,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
47,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
48,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
49,1.043014526,2.432244062,0.928467,1.389229774,1.045763731,2.449864626,1.404101372
